x, y, z, gx, gy, gz
x, y, z, gx, gy, gz
x, y, z, gx, gy, gz
0.25, 0.06, 0.96
x, y, z, gx, gy, gz
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.96
-0.26, 0.06, 0.95
-0.25, 0.06, 0.96
-0.25, 0.07, 0.96
-0.26, 0.06, 0.96
-0.26, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.95
x, y, z, gx, gy, gz
-0.25, 0.07, 0.95
-0.25, 0.07, 0.95
-0.24, 0.05, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.04, 0.95
-0.27, 0.06, 0.95
-0.24, 0.07, 0.96
-0.24, 0.05, 0.95
-0.25, 0.04, 0.95
-0.23, 0.06, 0.96
-0.26, 0.07, 0.96
-0.24, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.95
-0.24, 0.06, 0.96
-0.26, 0.06, 0.95
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.95
-0.25, 0.06, 0.96
-0.26, 0.06, 0.95
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.96
-0.25, 0.06, 0.95
-0.25, 0.06, 0.96
-0.26, 0.05, 0.95
-0.25, 0.06, 0.96
-0.25, 0.07, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.96
-0.26, 0.06, 0.95
-0.26, 0.06, 0.95
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.07, 0.96
-0.26, 0.06, 0.96
-0.26, 0.06, 0.95
-0.25, 0.06, 0.96
-0.26, 0.06, 0.96
-0.26, 0.05, 0.95
-0.26, 0.06, 0.95
-0.26, 0.06, 0.96
x, y, z, gx, gy, gz
-0.25, 0.06, 0.96
-0.26, 0.06, 0.95
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.05, 0.95
-0.26, 0.05, 0.95
-0.25, 0.06, 0.96
-0.24, 0.07, 0.96
-0.25, 0.07, 0.96
-0.26, 0.06, 0.96
-0.26, 0.06, 0.96
-0.25, 0.06, 0.95
-0.25, 0.06, 0.96
-0.26, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.96
-0.26, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.95
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.95
-0.26, 0.06, 0.96
-0.25, 0.07, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.96
-0.26, 0.06, 0.96
-0.25, 0.06, 0.96
-0.25, 0.06, 0.95
-0.25, 0.07, 0.96
-0.25, 0.06, 0.96
-0.25, 0.07, 0.96
-0.25, 0.06, 0.96
